pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,orbital_period_days,semi_major_axis_au,planet_radius_re,pl_radj,planet_mass_me,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,planet_eq_temp_k,ttv_flag,st_refname,st_spectype,star_temp_k,st_rad,st_mass,star_metallicity,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,system_distance_pc,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
HD 233604 b,HD 233604,1,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,192.0,0.747,,,2089.644,6.575,Msini,0.05,,,0.0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K5,4791.0,10.9,1.5,-0.36,[Fe/H],2.55,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,847.058,10.291,7.979,10.1054,2014-05-14,2013-06,2014-05-14
GU Psc b,GU Psc,1,1,1,Imaging,2014,Gemini Observatory,Published Confirmed,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,,2000.0,14.179,1.265,3591.3,11.3,Mass,,,1050.0,0.0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,M3,,,0.325,0.1,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h12m35.16s,18.146485,+17d03m54.01s,17.0650029,47.5501,14.146,9.345,12.9656,2014-05-14,2014-05,2014-05-14
Kepler-38 b,Kepler-38,1,2,1,Transit,2012,Kepler,Published Confirmed,0,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...87O/abstract target=ref> Orosz et al. 2012 </a>,105.599,0.4632,4.3,0.384,122.0,0.384,Mass,0.032,,475.0,0.0,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...87O/abstract target=ref> Orosz et al. 2012 </a>,G4 V,5623.0,1.752,0.941,-0.11,[M/H],3.926,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m19.27s,286.830312,+42d16m44.92s,42.2791434,1174.59,14.015,12.342,13.9066,2014-05-14,2012-10,2014-05-14
HD 208527 b,HD 208527,1,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A...2L/abstract target=ref> Lee et al. 2013 </a>,875.5,2.1,,,3146.4,9.9,Msini,0.08,,,0.0,<a refstr=LEE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A...2L/abstract target=ref> Lee et al. 2013 </a>,M1 III,4035.0,51.1,1.6,-0.09,[Fe/H],1.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h56m23.99s,329.0999413,+21d14m23.72s,21.239922,312.202,6.38984,2.224,5.61607,2014-05-14,2013-01,2014-05-14
CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,440.0,24.66,2.2,5403.0,17.0,Mass,,,2600.0,0.0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,12.335,8.661,11.7733,2014-05-14,2008-11,2014-05-14
HIP 63242 b,HIP 63242,1,1,1,Radial Velocity,2013,Multiple Observatories,Published Confirmed,0,<a refstr=JONES_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A..78J/abstract target=ref> Jones et al. 2013 </a>,124.6,0.565,,,2917.56,9.18,Msini,0.23,,,0.0,<a refstr=JONES_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A..78J/abstract target=ref> Jones et al. 2013 </a>,G8,4830.0,,1.54,-0.31,[Fe/H],2.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h57m31.80s,194.3824825,-65d38m46.77s,-65.6463263,156.456,6.86,4.406,6.56453,2014-05-14,2013-08,2014-05-14
HD 221287 b,HD 221287,1,1,1,Radial Velocity,2007,La Silla Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>,456.1,1.25,,,982.05,3.09,Msini,0.08,,,0.0,<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>,,6304.0,,1.25,-0.03,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m20.69s,352.836223,-58d12m35.11s,-58.209754,55.9231,7.82,6.569,7.68153,2014-05-14,2007-08,2014-05-14
Kepler-34 b,Kepler-34,1,2,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,288.822,1.0896,8.564,0.764,69.92,0.22,Mass,0.182,,,1.0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,,5913.0,1.1618,1.0479,-0.07,[M/H],4.3284,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m44.59s,296.4358022,+44d38m29.53s,44.6415369,1800.82,15.087,13.238,14.8297,2014-05-14,2012-01,2014-05-14
KOI-55 b,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,1,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.240104,0.006,0.759,0.0677,0.44,0.0014,Mass,,,,0.0,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,0.203,0.496,,,5.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.02,15.154,15.495,14.9062,2014-05-14,2011-12,2014-05-14
GJ 674 b,GJ 674,1,1,1,Radial Velocity,2007,La Silla Observatory,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,4.6938,0.039,,,11.09,0.035,Msini,0.2,,,0.0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,M2.5,3600.0,,0.35,-0.28,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h28m40.81s,262.1700476,-46d53m56.34s,-46.8989826,4.54896,9.38,4.855,8.33063,2014-05-14,2007-10,2014-05-14
mu Leo b,mu Leo,1,1,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,357.8,1.1,,,762.8,2.4,Msini,0.09,,,0.0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,K2 III,4538.2,11.4,1.5,0.36,[Fe/H],2.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m45.57s,148.1898673,+26d00m24.17s,26.0067142,32.6081,3.86648,1.364,3.52769,2014-05-14,2014-06,2014-05-14
bet UMi b,bet UMi,1,1,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,522.3,1.4,,,1938.7,6.1,Msini,0.19,,,0.0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,K4 III,4126.0,38.3,1.4,-0.27,[Fe/H],1.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h50m42.36s,222.676495,+74d09m19.97s,74.155548,38.77472,2.0569,-1.287,,2014-05-14,2014-06,2014-05-14
SWEEPS-4 b,SWEEPS-4,1,1,1,Transit,2006,Hubble Space Telescope,Published Confirmed,0,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,4.2,0.055,9.079,0.81,1207.7,3.8,Mass,,,,0.0,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,,,1.18,1.24,,,,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,17h58m53.92s,269.7246667,-29d11m20.6s,-29.1890556,,18.8,,,2014-05-14,2006-10,2014-05-14
POTS-1 b,POTS-1,1,1,1,Transit,2013,La Silla Observatory,Published Confirmed,0,<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>,3.1606296,0.03734,10.548,0.941,734.16,2.31,Mass,,,,0.0,<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>,K5 V,4400.0,0.588,0.695,-0.03,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m26.09s,203.6087259,-66d34m52.19s,-66.5811639,747.959,17.9083,14.244,17.2604,2014-05-14,2013-11,2014-05-14
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,Paranal Observatory,Published Confirmed,0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,246.36,0.36,,,9057.77,28.5,Mass,0.345,,,0.0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,L1.5,,,0.075,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,,,12.062,18.5577,2014-05-14,2013-08,2014-05-14
HD 73526 c,HD 73526,1,1,2,Radial Velocity,2005,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..140W/abstract target=ref>  Wittenmyer et al. 2014 </a>,379.1,1.03,,,715.09,2.25,Msini,0.28,,,0.0,<a refstr=WITTENMYER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..140W/abstract target=ref>  Wittenmyer et al. 2014 </a>,,,,1.014,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m16.40s,129.318331,-41d19m06.32s,-41.3184231,97.2396,8.99,7.302,8.79682,2014-05-14,2014-01,2014-05-14
Lupus-TR-3 b,Lupus-TR-3,1,1,1,Transit,2007,Multiple Observatories,Published Confirmed,0,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,3.91405,0.0464,9.976,0.89,257.431,0.81,Mass,0.0,,,0.0,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,,5000.0,0.82,0.87,,,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h30m18.59s,232.5774696,-42d58m47.81s,-42.9799461,773.409,19.6202,15.068,18.765,2014-05-14,2008-03,2014-05-14
GJ 3021 b,GJ 3021,1,2,1,Radial Velocity,2000,La Silla Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>,133.71,0.49,,,1071.04,3.37,Msini,0.511,,350.0,0.0,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>,G6 V,5540.0,0.9,0.9,0.1,[Fe/H],4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h16m15.22s,4.0634323,-79d51m05.12s,-79.8514218,17.5559,6.59,4.859,6.39729,2014-05-14,2001-08,2014-05-14
SWEEPS-11 b,SWEEPS-11,1,1,1,Transit,2006,Hubble Space Telescope,Published Confirmed,0,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,1.796,0.03,12.666,1.13,3082.82,9.7,Mass,,,,0.0,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,,,1.45,1.1,,,,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,17h59m02.00s,269.7583333,-29d11m53.5s,-29.1981944,,19.83,,,2014-05-14,2006-10,2014-05-14
SR 12 AB c,SR 12 AB,1,2,1,Imaging,2010,Infrared Survey Facility,Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref> Kuzuhara et al. 2011 </a>,,,,,4131.62,13.0,Mass,,,,0.0,<a refstr=KUZUHARA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref> Kuzuhara et al. 2011 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m19.50s,246.8312363,-24d41m40.81s,-24.6946687,,13.355,8.408,12.1811,2014-05-14,2011-04,2014-05-14
Kepler-413 b,Kepler-413,1,2,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=KOSTOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...14K/abstract target=ref>Kostov et al. 2014</a>,66.262,0.3553,4.347,0.388,67.0,0.211,Mass,0.1181,,,0.0,<a refstr=KOSTOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...14K/abstract target=ref>Kostov et al. 2014</a>,,4700.0,0.7761,0.82,-0.2,[Fe/H],4.5721,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h14m02.56s,288.5106679,+51d09m44.72s,51.1624235,847.536,15.885,13.415,15.5943,2014-05-14,2014-03,2014-05-14
PH1 b,PH1,1,4,1,Transit,2012,Kepler,Published Confirmed,0,<a refstr=SCHWAMB_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..127S/abstract target=ref> Schwamb et al. 2013 </a>,138.317,0.652,6.18,0.551,169.0,0.531,Mass,0.0702,,481.0,0.0,<a refstr=SCHWAMB_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..127S/abstract target=ref> Schwamb et al. 2013 </a>,F,6407.0,1.734,1.528,0.21,[Fe/H],4.14,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h52m51.62s,298.2150641,+39d57m18.31s,39.9550863,1033.16,13.841,12.395,13.6988,2014-05-14,2013-05,2014-05-14
HD 66141 b,HD 66141,1,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A.118L/abstract target=ref> Lee et al. 2012 </a>,480.5,1.2,,,1906.9,6.0,Msini,0.07,,,0.0,<a refstr=LEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A.118L/abstract target=ref> Lee et al. 2012 </a>,K2 III,4323.0,21.4,1.1,-0.323,[Fe/H],1.78,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m15.91s,120.5662825,+02d20m06.10s,2.3350265,68.1509,4.37821,1.447,3.97926,2014-05-14,2012-12,2014-05-14
KOI-55 c,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,1,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.342887,0.0076,0.867,0.0773,0.655,0.0021,Mass,,,,0.0,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,0.203,0.496,,,5.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.02,15.154,15.495,14.9062,2014-05-14,2011-12,2014-05-14
Kepler-35 b,Kepler-35,1,2,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,131.458,0.60347,8.16,0.728,40.363,0.127,Mass,0.042,,,1.0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,,5606.0,1.0284,0.8877,-0.34,[M/H],4.3623,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m59.27s,294.496955,+46d41m22.82s,46.6896733,1819.17,15.863,13.875,15.7352,2014-05-14,2012-01,2014-05-14
HD 93083 b,HD 93083,1,1,1,Radial Velocity,2005,La Silla Observatory,Published Confirmed,0,<a refstr=LOVIS_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437.1121L/abstract target=ref> Lovis et al. 2005 </a>,143.58,0.477,,,117.59,0.37,Msini,0.14,,,0.0,<a refstr=LOVIS_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437.1121L/abstract target=ref> Lovis et al. 2005 </a>,K3 V,4995.0,,0.7,0.15,[Fe/H],4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h44m20.80s,161.0866672,-33d34m39.65s,-33.5776794,28.5159,8.3,6.132,8.04206,2014-05-14,2005-07,2014-05-14
HN Peg b,HN Peg,1,1,1,Imaging,2006,Spitzer Space Telescope,Published Confirmed,0,<a refstr=LUHMAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref> Luhman et al. 2007 </a>,,773.0,11.7768,1.05066,6991.57,21.9987,Mass,,,,0.0,<a refstr=LUHMAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref> Luhman et al. 2007 </a>,G0 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h44m31.58s,326.1315705,+14d46m17.23s,14.7714524,18.1186,5.97707,4.559,5.82363,2014-05-14,2007-01,2014-05-14
GJ 667 C e,GJ 667 C,1,3,5,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,62.24,0.213,,,2.7,0.008,Msini,0.02,,,0.0,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,M1.5 V,3350.0,,0.33,-0.55,[Fe/H],4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.24396,10.602,6.036,9.38033,2014-05-14,2013-08,2014-05-14
GJ 667 C f,GJ 667 C,1,3,5,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,39.026,0.156,,,2.7,0.008,Msini,0.03,,,0.0,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,M1.5 V,3350.0,,0.33,-0.55,[Fe/H],4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.24396,10.602,6.036,9.38033,2014-05-14,2013-08,2014-05-14
GJ 667 C g,GJ 667 C,1,3,5,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,256.2,0.549,,,4.6,0.014,Msini,0.08,,,0.0,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,M1.5 V,3350.0,,0.33,-0.55,[Fe/H],4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.24396,10.602,6.036,9.38033,2014-05-14,2013-08,2014-05-14
PSR J1719-1438 b,PSR J1719-1438,1,1,1,Pulsar Timing,2011,Parkes Observatory,Published Confirmed,0,<a refstr=BAILES_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Sci...333.1717B/abstract target=ref> Bailes et al. 2011 </a>,0.090706293,0.0044,,,382.8,1.2,Mass,0.06,,,0.0,<a refstr=BAILES_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Sci...333.1717B/abstract target=ref> Bailes et al. 2011 </a>,,4500.0,,1.4,,,,<a refstr=BAILES_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Sci...333.1717B/abstract target=ref> Bailes et al. 2011 </a>,17h19m10.07s,259.7919708,-14d38m01.0s,-14.6336,1200.0,,,,2014-05-14,2011-09,2014-05-14
bet Cnc b,bet Cnc,1,2,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,605.2,1.7,,,2479.0,7.8,Msini,0.08,,,0.0,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>,K4 III,4092.1,47.2,1.7,-0.29,[Fe/H],1.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h16m30.87s,124.1286379,+09d11m07.19s,9.1853306,89.0472,3.51012,0.19,3.04628,2014-05-14,2014-06,2014-05-14
HAT-P-44 c,HAT-P-44,1,1,2,Radial Velocity,2014,W. M. Keck Observatory,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,872.2,1.752,,,1271.3,4.0,Msini,0.494,,,0.0,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,,5295.0,0.949,0.942,0.33,[Fe/H],4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826,347.85,13.225,11.275,12.9729,2014-05-14,2014-06,2014-05-14
